market_segment,No Deposit,Non Refund,Refundable
Aviation,0.21940928270042195,,
Complementary,0.13055181695827725,,
Corporate,0.1369780108936857,0.9341317365269461,0.25
Direct,0.15229314044988473,0.8421052631578947,0.3333333333333333
Groups,0.2829955276429727,0.9932402965547318,0.1
Offline TA/TO,0.17210682492581603,0.9994007191370355,0.5
Online TA,0.3664344095172243,0.9464285714285714,1.0
Undefined,1.0,,
